          VERSOR NORMAL         ,   AREA [m2]     ,          CP      
  0.000   -0.000    1.000     0.025     0.172673308101
  0.000   -0.000    1.000     0.025     0.172612228093
  0.000   -0.000    1.000     0.025     0.172545139944
  0.000   -0.000    1.000     0.025     0.172471463632
  0.000   -0.000    1.000     0.025     0.172390505790
  0.000   -0.000    1.000     0.025     0.172301283378
  0.000   -0.000    1.000     0.025     0.172203033019
  0.000   -0.000    1.000     0.025     0.172094669439
  0.000   -0.000    1.000     0.025     0.171974932962
  0.000   -0.000    1.000     0.025     0.171842465506
  0.000   -0.000    1.000     0.025     0.171695705500
  0.000   -0.000    1.000     0.025     0.171532856784
  0.000   -0.000    1.000     0.025     0.171351850733
  0.000   -0.000    1.000     0.025     0.171150300250
  0.000   -0.000    1.000     0.025     0.170925523722
  0.000   -0.000    1.000     0.025     0.170674376232
  0.000   -0.000    1.000     0.025     0.170393024165
  0.000   -0.000    1.000     0.025     0.170077337967
  0.000   -0.000    1.000     0.025     0.169722284892
  0.000   -0.000    1.000     0.025     0.169321936064
  0.000   -0.000    1.000     0.025     0.168869388552
  0.000   -0.000    1.000     0.025     0.168356466240
  0.000   -0.000    1.000     0.025     0.167773441533
  0.000   -0.000    1.000     0.025     0.167108681885
  0.000   -0.000    1.000     0.025     0.166348197288
  0.000   -0.000    1.000     0.025     0.165475133558
  0.000   -0.000    1.000     0.025     0.164468914021
  0.000   -0.000    1.000     0.025     0.163304097525
  0.000   -0.000    1.000     0.025     0.161949522204
  0.000   -0.000    1.000     0.025     0.160366044556
  0.000   -0.000    1.000     0.025     0.158504249853
  0.000   -0.000    1.000     0.025     0.156301184177
  0.000   -0.000    1.000     0.025     0.153675587906
  0.000   -0.000    1.000     0.025     0.150521273011
  0.000   -0.000    1.000     0.025     0.146697697812
  0.000   -0.000    1.000     0.025     0.142016511987
  0.000   -0.000    1.000     0.025     0.136222552291
  0.000   -0.000    1.000     0.025     0.128967526885
  0.000   -0.000    1.000     0.025     0.119775712381
  0.000   -0.000    1.000     0.025     0.108007745717
  0.000   -0.000    1.000     0.025     0.092833285279
  0.000   -0.000    1.000     0.025     0.073209735161
  0.000   -0.000    1.000     0.025     0.048200837582
  0.000    0.000    1.000     0.025     0.055717298293
  0.000    0.000    1.000     0.025     0.055718509312
  0.000    0.000    1.000     0.025     0.055719557614
  0.000    0.000    1.000     0.025     0.055721103798
  0.000    0.000    1.000     0.025     0.055723111554
  0.000    0.000    1.000     0.025     0.055726506449
  0.000    0.000    1.000     0.025     0.055728964428
  0.000    0.000    1.000     0.025     0.055732806877
  0.000    0.000    1.000     0.025     0.055737104946
  0.000    0.000    1.000     0.025     0.055741891274
  0.000    0.000    1.000     0.025     0.055747184088
  0.000    0.000    1.000     0.025     0.055752984029
  0.000    0.000    1.000     0.025     0.055759283352
  0.000    0.000    1.000     0.025     0.055766065501
  0.000    0.000    1.000     0.025     0.055773295056
  0.000    0.000    1.000     0.025     0.055780920201
  0.000    0.000    1.000     0.025     0.055789843825
